nf,la,lr,result
1,12,1,N
1,39,41,Y
1,4,17,Y
1,4,1,N
1,9,10,N
1,1,0,N
2,121,0,Y
3,274,326,Y
1,58,55,Y
1,2,0,N
12,366,1351,N
1,3,2,Y
1,1,0,N
3,161,9,N
1,1,1,N
1,10,1,N
1,18,13,N
12,12,12,N
1,98,44,N
1,0,201,N
4,1,20,Y
1,2,0,N
2,128,29,N
2,92,0,N
1,87,27,N
9,263,144,N
3,8,1,Y
4,335,10,N
1,1,1,N
2,18,2,N
1,15,15,Y
2,120,1,Y
4,57,141,Y
1,10,0,Y
3,141,2,N
1,1,1,N
3,8,0,N
2,171,0,Y
2,1297,944,Y
1,2,1,N
1,20,3,N
4,723,608,N
2,16,16,N
12,3149,1146,Y
1,3,3,N
1,1,1,N
1,8,0,Y
3,90,18,N
1,26,12,N
1,1,1,N
1,3,0,N
1,15,15,Y
1,10,0,N
2,11,6,Y
1,14,10,Y
3,38,11,Y
10,118,419,N
10,574,12,Y
16,887,319,N
14,1794,0,N
1,1,1,N
2,6,1,N
5,40,138,N
1,27,27,N
3,128,51,N
1,1,1,N
3,42,0,N
4,420,0,Y
2,153,153,Y
1,88,37,N
4,718,1,N
1,375,0,Y
