nf,la,lr,result
1.0,6.0,0.0,N
1.0,30.0,0.0,N
3.0,64.0,55.0,N
1.0,3.0,2.0,N
2.0,5.0,4.0,N
1.0,1.0,1.0,N
1.0,3.0,3.0,N
5.0,139.0,64.0,N
4.0,5.0,7.0,N
7.0,805.0,0.0,Y
2.0,44.0,37.0,Y
4.0,824.0,548.0,N
2.0,55.0,5.0,N
1.0,56.0,11.0,N
6.0,56.0,143.0,N
6.0,334.0,0.0,N
18.0,297.0,145.0,N
2.0,13.0,11.0,N
23.0,797.0,153.0,Y
2.0,14.0,10.0,N
1.0,1.0,54.0,N
4.0,22.0,16.0,N
7.0,985.0,67.0,N
1.0,2.0,2.0,N
2.0,86.0,3.0,N
1.0,1.0,1.0,N
3.0,18.0,4.0,N
2.0,768.0,463.0,N
3.0,39.0,4.0,N
7.0,384.0,36.0,Y
1.0,10.0,10.0,N
4.0,502.0,0.0,N
2.0,120.0,6.0,N
1.0,4.0,9.0,N
1.0,13.0,9.0,Y
5.0,1795.0,202.0,N
4.0,193.0,89.0,N
3.0,445.0,0.0,N
1.0,2.0,2.0,N
1.0,37.0,37.0,N
1.0,10.0,0.0,N
1.0,60.0,49.0,N
1.0,5.0,5.0,N
5.0,6281.0,6160.0,Y
1.0,1.0,1.0,N
0.0,0.0,0.0,Y
2.0,7.0,16.0,N
2.0,147.0,15.0,N
6.0,412.0,0.0,N
1.0,2.0,2.0,N
2.0,37.0,178.0,N
4.0,1764.0,0.0,N
1.0,7.0,4.0,Y
1.0,1.0,1.0,N
1.0,1.0,1.0,N
5.0,516.0,147.0,N
3.0,123.0,168.0,N
1.0,1.0,1.0,N
1.0,2.0,2.0,N
2.0,2.0,462.0,N
1.0,112.0,90.0,Y
0.0,0.0,0.0,N
29.0,7092.0,2.0,N
2.0,287.0,22.0,N
11.0,1055.0,1.0,N
1.0,3.0,0.0,N
2.0,17.0,3.0,N
3.0,41.0,0.0,N
1.0,66.0,0.0,N
1.0,24.0,8.0,N
4.0,74.0,77.0,N
2.0,40.0,10.0,Y
1.0,5.0,15.0,N
8.0,643.0,462.0,N
2.0,8.0,5.0,N
3.0,3.0,1.0,N
9.0,1391.0,0.0,N
2.0,3.0,9.0,Y
9.0,3005.0,17.0,N
7.0,94.0,86.0,N
3.0,855.0,0.0,N
1.0,14.0,14.0,N
1.0,61.0,36.0,N
8.0,55.0,14.0,N
1.0,9.0,5.0,N
5.0,189.0,101.0,Y
3.0,125.0,0.0,N
8.0,84.0,89.0,N
1.0,0.0,7.0,N
1.0,0.0,72.0,N
123.0,2189.0,4696.0,N
2.0,661.0,7.0,N
1.0,14.0,31.0,N
2.0,5.0,2.0,N
2.0,39.0,0.0,N
2.0,6.0,6.0,N
1.0,20.0,21.0,N
1.0,1.0,1.0,N
2.0,625.0,588.0,Y
2.0,30.0,9.0,N
5.0,59.0,34.0,N
26.0,562.0,763.0,N
1.0,0.0,5.0,N
8.0,4.0,463.0,Y
1.0,19.0,14.0,N
2.0,6.0,35.0,N
3.0,126.0,13.0,N
4.0,2329.0,2339.0,N
