nf,la,lr,result
635.0,4298.0,87056.0,N
1.0,11.0,7.0,N
1.0,12.0,1.0,N
64.0,1273.0,1899.0,N
2.0,8.0,3.0,N
3.0,4.0,4.0,N
0.0,0.0,0.0,N
3.0,42.0,42.0,N
0.0,0.0,0.0,N
1.0,1.0,1.0,N
0.0,0.0,0.0,N
1.0,2.0,0.0,N
0.0,0.0,0.0,N
0.0,0.0,0.0,N
1.0,0.0,3.0,N
0.0,0.0,0.0,N
3.0,11.0,1.0,N
0.0,0.0,0.0,N
2.0,3.0,8.0,Y
0.0,0.0,0.0,N
619.0,97435.0,2360.0,N
0.0,0.0,0.0,N
0.0,0.0,0.0,N
6.0,9.0,8.0,N
54.0,835.0,1768.0,N
542.0,1542.0,81304.0,N
2.0,26.0,3.0,N
1.0,1.0,1.0,N
26.0,398.0,685.0,Y
2.0,23.0,1.0,N
5.0,36.0,14.0,N
2.0,44.0,18.0,N
5.0,19.0,21.0,N
1.0,1.0,1.0,N
622.0,2348.0,86749.0,Y
1.0,1.0,1.0,N
0.0,0.0,0.0,N
2.0,5.0,18.0,N
0.0,0.0,0.0,N
108.0,2461.0,4142.0,N
0.0,0.0,0.0,N
1.0,2.0,3.0,N
0.0,0.0,0.0,N
7.0,13.0,7.0,N
1.0,47.0,13.0,N
0.0,0.0,0.0,N
38.0,217.0,1309.0,N
0.0,0.0,0.0,N
68.0,1328.0,1974.0,N
623.0,2346.0,97590.0,N
1.0,4.0,7.0,N
0.0,0.0,0.0,N
631.0,99084.0,2842.0,N
1.0,1.0,0.0,N
5.0,6.0,35.0,N
0.0,0.0,0.0,N
1.0,29.0,1.0,Y
2.0,2.0,3.0,N
608.0,85944.0,1765.0,Y
184.0,1284.0,21135.0,N
89.0,1370.0,3730.0,N
596.0,1765.0,85095.0,Y
0.0,0.0,0.0,N
1.0,1.0,1.0,N
4.0,3.0,18.0,N
0.0,0.0,0.0,Y
1.0,1.0,1.0,N
183.0,21137.0,1285.0,N
2.0,148.0,0.0,N
0.0,0.0,0.0,N
17.0,445.0,330.0,N
6.0,69.0,25.0,N
1.0,22.0,4.0,N
7.0,37.0,1.0,N
1.0,19.0,7.0,N
239.0,4563.0,21576.0,N
2.0,1.0,5.0,N
1.0,2.0,2.0,N
622.0,86764.0,2374.0,Y
0.0,0.0,0.0,N
98.0,1737.0,2340.0,N
2.0,8.0,2.0,N
2.0,11.0,9.0,N
157.0,1395.0,18628.0,N
2.0,2.0,0.0,N
541.0,81078.0,1538.0,Y
8.0,1374.0,2.0,Y
46.0,1019.0,1294.0,N
1.0,1.0,0.0,N
