nf,la,lr,result
6.0,51.0,89.0,N
8.0,193.0,10.0,N
16.0,388.0,655.0,Y
7.0,3434.0,90.0,N
1.0,1.0,1.0,N
11.0,2.0,293.0,N
35.0,2750.0,432.0,N
11.0,281.0,3.0,N
3.0,64.0,1.0,N
19.0,217.0,174.0,N
36.0,2710.0,0.0,N
3.0,18.0,23.0,N
17.0,293.0,170.0,N
24.0,243.0,69.0,N
1.0,1.0,1.0,N
36.0,734.0,106.0,N
71.0,1630.0,424.0,N
5.0,124.0,48.0,N
23.0,1657.0,0.0,N
2.0,7.0,8.0,N
34.0,2594.0,2030.0,N
1.0,5.0,0.0,N
146.0,7828.0,1586.0,N
12.0,717.0,4.0,N
23.0,263.0,106.0,N
13.0,346.0,23.0,N
20.0,651.0,492.0,N
3.0,0.0,171.0,N
92.0,912.0,1757.0,N
26.0,547.0,451.0,N
18.0,113.0,272.0,N
42.0,10.0,4548.0,N
5.0,48.0,16.0,N
0.0,0.0,0.0,N
1.0,2.0,0.0,N
33.0,301.0,1032.0,N
18.0,882.0,15.0,N
423.0,10838.0,15846.0,N
1.0,39.0,6.0,N
6.0,117.0,28.0,N
46.0,454.0,389.0,N
151.0,7584.0,8485.0,N
74.0,1936.0,2054.0,N
30.0,3600.0,501.0,N
1.0,6.0,4.0,N
11.0,145.0,159.0,N
149.0,3915.0,1433.0,N
1.0,1.0,1.0,N
86.0,3264.0,583.0,N
10.0,101.0,11.0,Y
3.0,34.0,19.0,N
6.0,46.0,3.0,N
40.0,2800.0,152.0,N
0.0,0.0,0.0,N
12.0,270.0,94.0,N
31.0,320.0,143.0,N
34.0,13352.0,5.0,N
13.0,427.0,120.0,N
0.0,0.0,0.0,N
1.0,4.0,7.0,N
16.0,255.0,31.0,N
79.0,5246.0,1741.0,N
18.0,647.0,668.0,N
1.0,1.0,1.0,N
8.0,362.0,0.0,N
263.0,16621.0,1591.0,N
163.0,1869.0,4565.0,N
347.0,11025.0,28009.0,N
8.0,68.0,39.0,N
1107.0,32984.0,34428.0,N
30.0,1226.0,61.0,N
7.0,1.0,20.0,N
15.0,34.0,134.0,Y
1.0,39.0,31.0,N
27.0,1233.0,1050.0,N
188.0,7502.0,5182.0,N
63.0,6427.0,7.0,N
4.0,49.0,168.0,N
2.0,42.0,0.0,N
9.0,418.0,62.0,N
22.0,435.0,668.0,N
12.0,46.0,19.0,N
24.0,299.0,111.0,N
28.0,2019.0,5.0,N
36.0,1384.0,151.0,Y
2.0,13.0,19.0,N
1.0,1.0,1.0,N
1.0,1.0,1.0,N
75.0,5102.0,566.0,N
2.0,111.0,27.0,N
6.0,238.0,3.0,N
1.0,1.0,1.0,N
126.0,244.0,745.0,Y
0.0,0.0,0.0,N
31.0,39.0,63.0,N
15.0,1013.0,402.0,N
8.0,272.0,77.0,N
1.0,7.0,4.0,Y
1.0,1.0,1.0,N
2.0,12.0,13.0,N
2.0,2.0,8.0,Y
2.0,5.0,9.0,N
13.0,548.0,31.0,N
1.0,1.0,1.0,N
2.0,139.0,7.0,Y
1.0,2.0,1.0,N
9.0,59.0,32.0,N
5.0,78.0,0.0,N
8.0,1025.0,691.0,N
7.0,79.0,27.0,N
22.0,734.0,133.0,N
73.0,230.0,195.0,N
9.0,65.0,17.0,N
4.0,71.0,0.0,N
2.0,7.0,0.0,N
1.0,8.0,0.0,N
183.0,8827.0,7758.0,N
72.0,2513.0,119.0,N
6.0,4.0,190.0,Y
1.0,1.0,1.0,N
2.0,0.0,10.0,N
8.0,31.0,19.0,N
18.0,351.0,216.0,N
2.0,13.0,1.0,N
7.0,23.0,24.0,N
14.0,1516.0,8.0,N
7.0,125.0,17.0,N
1.0,1.0,0.0,N
52.0,637.0,986.0,N
28.0,315.0,103.0,N
37.0,97.0,53.0,N
8.0,296.0,33.0,Y
1.0,2.0,2.0,N
0.0,0.0,0.0,N
56.0,722.0,3667.0,N
4.0,39.0,2.0,Y
1.0,1.0,0.0,N
29.0,326.0,210.0,N
2.0,15.0,250.0,N
1.0,9.0,2.0,N
17.0,79.0,834.0,N
12.0,91.0,54.0,Y
7.0,87.0,87.0,N
1.0,1.0,1.0,N
24.0,163.0,162.0,N
2.0,3.0,2.0,N
0.0,0.0,0.0,Y
32.0,627.0,86.0,N
2.0,8.0,7.0,N
10.0,303.0,14.0,N
1.0,0.0,11.0,N
1.0,18.0,1.0,N
6.0,20.0,10.0,N
16.0,241.0,50.0,Y
9.0,24.0,255.0,Y
19.0,168.0,89.0,N
11.0,1396.0,13.0,N
54.0,1848.0,329.0,N
1.0,53.0,1.0,N
1.0,2.0,0.0,N
4.0,6.0,6.0,N
1.0,3.0,0.0,Y
1.0,2.0,2.0,N
13.0,247.0,245.0,N
37.0,1068.0,735.0,N
23.0,680.0,171.0,N
5.0,114.0,2.0,N
61.0,144.0,151.0,N
28.0,259.0,130.0,N
9.0,44.0,5.0,N
113.0,6541.0,1261.0,N
2.0,3.0,0.0,N
1.0,2.0,2.0,N
7.0,103.0,25.0,N
170.0,252.0,463.0,N
11.0,60.0,290.0,N
3.0,17.0,24.0,N
55.0,76.0,57.0,N
1.0,2.0,1.0,N
6.0,14.0,14.0,N
3.0,22.0,7.0,N
1.0,55.0,0.0,N
2.0,4.0,4.0,N
0.0,0.0,0.0,Y
2.0,21.0,2.0,N
88.0,3643.0,3775.0,N
73.0,341.0,73.0,N
14.0,117.0,202.0,N
1.0,65.0,45.0,N
9.0,21.0,253.0,Y
0.0,0.0,0.0,N
7.0,3409.0,9.0,N
0.0,0.0,0.0,N
1.0,4.0,3.0,N
11.0,85.0,65.0,N
26.0,671.0,302.0,N
17.0,450.0,76.0,N
18.0,136.0,165.0,N
1.0,1.0,1.0,N
1.0,1.0,1.0,N
399.0,1207.0,1218.0,N
2.0,18.0,11.0,N
581.0,2525.0,475.0,N
3.0,93.0,60.0,N
4.0,10.0,10.0,N
33.0,676.0,674.0,N
7.0,57.0,181.0,N
3.0,6.0,3.0,N
22.0,503.0,306.0,Y
28.0,1172.0,157.0,N
5.0,8.0,8.0,Y
0.0,0.0,0.0,Y
1.0,1.0,1.0,N
131.0,9467.0,370.0,N
3.0,20.0,1.0,Y
2.0,4.0,1.0,N
5.0,66.0,3.0,N
204.0,17.0,520.0,N
0.0,0.0,0.0,N
32.0,96.0,62.0,N
1.0,4.0,2.0,N
1.0,0.0,1.0,Y
138.0,1484.0,418.0,N
5.0,112.0,2.0,N
1.0,1.0,1.0,N
10.0,519.0,7.0,N
28.0,586.0,206.0,Y
2.0,1.0,21.0,N
2.0,105.0,24.0,N
76.0,3733.0,3132.0,N
3.0,46.0,2.0,N
31.0,545.0,75.0,N
64.0,299.0,854.0,N
17.0,111.0,118.0,N
2.0,45.0,27.0,N
1.0,1.0,0.0,Y
1.0,2.0,2.0,N
60.0,718.0,108494.0,N
451.0,70418.0,187.0,N
0.0,0.0,0.0,N
12.0,654.0,25.0,Y
6.0,173.0,74.0,Y
40.0,711.0,385.0,N
