,nf,la,lr,result
21d7caa09a2f0e4565670204e20301f9f8d71ed2,184,22915,22909,Y
c6c8ae7a68c4c45f25d1fb11ad62171fffedeb6a,1,1,1,N
161677911f5ab798708503eb13859e8403281c7f,7,406,130,N
b8a168df404754ba324f743dd710e0f654aae201,4,1177,20,Y
3e7120c8fa69249a264face69d3f69e57b8e9c2b,2,20,3,Y
0a7bbe29d8ecc70ecb84c7f515ffc2e9394b0a75,48,279,299,N
e109a469257ee2437c0d8188f78ac78de8d6bfb1,1,4,0,Y
1189e1b201e0234b54df551804098df18bd9f445,2,136,142,N
45041961f9015e8c89873deef96c5bdfeea19e6b,1,5,6,N
d48d89ffb8786a4d16044e76ee869f322537a163,1,1,1,N
5710914d10aa125e6b2d611cc113b04b7fc4ffbd,1,20,3,N
0110214af6a802b2c7abc4f7151eab7595036478,4,28,5,Y
5c06c6f24063e7a5f4e2a48b43f6a6edff4efe88,1,1,9,N
dbe80e777ef25eca49e1c105409f84d7b30fde0c,1,2,2,N
7d378fd087eab0d66b2e069dca35837ce90ad1f1,1,0,8,N
6fbd74844f349fc6346f4afbeb6ab1f1a74b9e1d,1,1,1,N
ce66f92033c01bcbb8ea2b22f59e1e9a5961e8c7,3,84,84,N
570431c8502a6705e749b62ebf5519930946a776,2,142,136,Y
0bc53db8bdba6c605fec29fd2c55ad847e14b2a2,3,23,11,N
f5185b0229f93097be2433386c2d4022e70545d1,1,131,149,Y
5ecb2b8549ea8677d450d16d387ec9f4cbcbbc1a,1,2,2,N
0c1ee1f6ba4c660e8db076cc02b5275f449005cd,1,2,0,N
29524ee6b16bde662d61c69635760f574f12c1b7,7,155,192,N
ddc7143ed89a6c92bbafb89bbe8e1fc4937a878c,8,369,377,N
40dee74b30d97410fa0e31b08d484be489afa510,1,12,0,N
ce40a691aaebafff68e360666623f4c59a00980c,1,3,0,N
5dae4d949e1ce53048fdb817ce6e2a76cb3a25ee,2,80,37,N
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1,137,9504,0,N
50a1d17b5402accbdd59e62e68fa96172c9e3764,1,8,0,N
711c2e1aff80dc3205e7a3608a2ac391894d6711,2,152,146,N
eafc2b9db93198b247c9481f9934226c11a12fb9,3,25,22,N
16e78c484c6357d288b8f23bad9b038e549cef68,1,1,1,N
ab27defc0f3a3ac9b797c23bdc32f35052492b1d,2,23,23,N
31c30792fb86b0fef3fc48a1773c577d5b6dad61,1,1,1,N
5214caa011c0a976475f1f5ed2fbe4aa54c08589,1,11,5,N
934cd1c4bac88acf1450805d3d3870a36dbd1592,1,5,2,N
622088ba07b5b9452b73e2b2867549540e431732,6,91,90,N
39d5df29fb768fd257f9d328b99f00bc69ec864a,24,776,367,Y
a85362e950874ce8fdc1c741a0b775495f2af842,6,31,31,N
c35dcd2b488f4d2368d8db6d0f92c27b03794cc8,8,425,406,N
