,nf,la,lr,result
0383fd51df6ef72e41338d37748959639b788871,2,47,1,Y
e6ba150743d6bdd3d89867d106f1848a25149140,1,1,1,N
98bc368b3155ea6763e4872a925afe6b523b4c69,1,1,1,N
cd02e63c1fc9c8b2db5e56345c8abfda6c8b705e,2,396,396,Y
93089b260cd2030d69b3f7113ed643b9af1adcaa,1,9,6,Y
6a34b823c807325bc251ef43c66c307adcd947b8,10,522,446,Y
22601f647f2ce9a05fa4ce20ea356492c670940c,2,8,2,Y
a5d3d4ed7c747ab7bcdf6bbae477c18e717f17e0,3,109,0,Y
9f03b06a1ec8cb2cb64aec6068d2a6c1f663fbc9,2,11,1,Y
a0d975933d6fe9eb5f359088de43508c1d3109bf,2,119,4,Y
576770726cdfaff6da9ca1e03efb9bc35c92896d,1,1,1,N
f192d16a872de62b7ded70fea48bab9dc563504d,1,1,1,N
71a657004e090a86c47593f624cdcc3bb2ea710e,3,29,29,N
cb5de899710355a048cc3a34e24e21bb8c3b8c32,1,1,1,N
fa07dea5850eb11bb7b4dc06823802156b89baaf,1,5,5,N
0e8811ddb7ea1a8782457328193703e8371204e2,1,22,1,N
db11c04d29dd50f4405c51043b40f0d47d15925d,3,296,43,Y
8f436552ae8ee5713c1b5c78c58d4387edcccb31,2,14,0,Y
59411494e069c8aae9123f182aa3a70136bd3dc3,8,20,20,N
5d28695b99253a183af6ecaddfe632547045c45f,1,1,1,Y
28520d57d8100665c4b96c01d0d2ca9de69cc7d6,1,18,17,N
