,nf,la,lr,result
dcca8f185ab19904285a8b208ff6087f8fb5ec4e,2,26,44,N
bd2c272d341accef043c23d9d53085d8c7374a7e,1,1,1,N
27208dccd58677c604baf5ed35aea2359a862ab2,3,34,6,Y
5223776550751d3cfceefbc2c0903b770d4eb62b,3,316,0,N
c27fc103b4a5b4b4c66cac1fae5fac9a62dad124,1,44,37,N
ee1336026bc77b35810bfe2b8ea8f25516f069df,4,0,4,N
afc2ce6fcf959f8280026f2e0a8ad04e6bcb538e,8,74,36,N
6c063ef8f11e4941cdea8b2145370953d7af2cb2,2,35,35,N
895a1317c2993dea6613cd6080bfae21eb2175c2,1,5,0,N
3ef177521bc9887ad7343b5843bef30475259013,1,2,0,N
d9eb28feb86bd4c23100450c63e3cafcde21f5f1,1,1,1,Y
7d39e4e61f151094bab9d797fff672ffa5b640fd,2,35,35,N
afbfd3c801d76b859944a3582012bdd36c2d7964,1,743,2,N
09780d114b771f60098d5dd07ca9bfa724804740,1,3,1,N
83ddf5f5bbfc84df60ece9e1c006c8dc32a8bc47,1,6,0,N
ddf9f54774ab5c2d79494a9e8bdb918e94ec6b0c,1,1,1,Y
1044d960f41885022034a2a2a9fdea47209aec21,3,70,10,Y
947dc3d3732f1b91cc79eafc5445c0afaf2c1a33,52,296,296,N
bbbc6ec938531e9efe0afb90b102225b75b3cf88,1,16,16,N
d5330a16f6d21cb61dc7f59769e4e031ca9aa47a,2,433,0,N
bed2ff34fd7a96f81346cc1477727171b10a937f,2,249,140,N
15ee330ba88602d20b80d487897ad5100dc85eda,1,4,2,N
636b88860b60bcc4dbd089b04934d6a3a6ed67e8,1,0,1,N
53c65ea6f6e9d4c55fd12f0892ba76e85662fe29,3,499,0,N
eabcac384a10e010b1f9c6802bb2a1013e7a1b5b,7,728,728,N
608d0c04713ddb022445a0bcc658edb90397e332,1,1,1,N
b1264cc000b10d2580b7d709162faeddd65835fa,16,42,45,Y
3dba7f1b740a4926edf01d837b1603f28a76bf07,1,1,4,N
efcc1db8b9e6c43badf097ea229ada0e377e7012,2,23,8,Y
f016a931b3c9783a5d8c7da1d675a0afbeece569,1,1,0,N
fcd1be848e8be541fb7d9536f8d367f4040e4d74,4,711,0,N
3d94cff4112271a80c2208805324df1c26d90e2e,4,283,381,N
c119b2137f61c469da3ec5f7a080c77f8f15a12c,3,14,14,N
