,nf,la,lr,result
af33f7c7efadfb02899f38d4371e599c1ec7e1ed,1.0,6.0,0.0,N
69c88c75391ec345b0c24a4184e2abcc38fffc94,1.0,30.0,0.0,N
b2cea08e85b368ba6d6883a0512ae3dfed3ece9e,3.0,64.0,55.0,N
48d4f49acb2625a0147a116e6a23b20dfbe73398,1.0,3.0,2.0,N
7f1d7b7e3332455bab4d83ba16af3134c1210eaf,2.0,5.0,4.0,N
3ee9c4a7d8ad90a3fd9143fce8acaba6f25bd25a,1.0,1.0,1.0,N
5fc7e64e552154df09c8f12bbfb4e05a88be390a,1.0,3.0,3.0,N
299039b740ee49f3269d9802fe5e3f56bc4748b4,5.0,139.0,64.0,N
47e5bb380eefdbd0217be98295c54b03a38b6be9,4.0,5.0,7.0,N
58d18852834e792878fc9205c605822891498c4b,7.0,805.0,0.0,Y
2af899b74b5969bb56a2ef813315a1d85f0c9fcc,2.0,44.0,37.0,Y
2c8cfb1aa7db1e7fbbfdfcc809a892b06240f63f,4.0,824.0,548.0,N
183ad3388d0d80bb144ce6cab79e0080d785eee6,2.0,55.0,5.0,N
678377a1e84797e74daf1f5eb835882af9b172dc,1.0,56.0,11.0,N
33c0778d9081f5fd4661980239e990e1c48d3a79,6.0,56.0,143.0,N
a31a5e84517ff0fd567b3606580129363ac50a8d,6.0,334.0,0.0,N
250cf6e3669ee3c0cfda5d20761fb1324f594df0,18.0,297.0,145.0,N
6c048df1471e789042548ba72b13e4157790b62c,2.0,13.0,11.0,N
9a0794de0f932dbfd162c68285f53a0044ef64e1,23.0,797.0,153.0,Y
329cf9e8e643160e4da6fd8622aa5a3b3905fb69,2.0,14.0,10.0,N
8762808a0449fca72050d660767f1ae1dd5e9fa6,1.0,1.0,54.0,N
bdd5b45cf729331f06becc8c235d35b4f8898c46,4.0,22.0,16.0,N
11d8f0ec5fc2ea5e71b57288d5891d27dd8b0e97,7.0,985.0,67.0,N
fca88f8e3d44d743e82ef2fb3ce880f8b98149a3,1.0,2.0,2.0,N
6e40b488fd09b4aaec33c3add6df90b740dac77d,2.0,86.0,3.0,N
78432c97558162d56860b3d03b9d995d4bb5343b,1.0,1.0,1.0,N
de12e28789bd8bc2e213530150cdec6fa41410ef,3.0,18.0,4.0,N
b29fc9645a7cb4e9ac2cab177794b14a39352052,2.0,768.0,463.0,N
833111b2e81ae248f6ba38553a0dd7568d438439,3.0,39.0,4.0,N
0e9a5f40f4602946a2d5b0efdc75817854486cd7,7.0,384.0,36.0,Y
7dc0c33e7c50bbfe160f72cdc71ea18ae731eaea,1.0,10.0,10.0,N
22e68e3efe72371fc8d47797715d78c750c80964,4.0,502.0,0.0,N
cb164171e6ef49b5cec7fb5db40729bd3de795b8,2.0,120.0,6.0,N
99c798e46ffa6d6be36af8b05248b42abd6fd6da,1.0,4.0,9.0,N
1977d4d9682daf14620b0da472de5aabc98b8780,1.0,13.0,9.0,Y
afff37e03b91c9a4e02c284646a7629b4f9d45a9,5.0,1795.0,202.0,N
f25a61670e378dd7f24ac45f55df00632979192e,4.0,193.0,89.0,N
13f4032d6c103bfaaabe89f2cd36dffaff5a10b6,3.0,445.0,0.0,N
5a5d8eee65f23a9978ff035cd32e2ce8c98dcadb,1.0,2.0,2.0,N
d171e7dd17441b60b00960eef69f09f3b0ca89c3,1.0,37.0,37.0,N
f0e12317641c2f50c7f1835fcac65953e38879fb,1.0,10.0,0.0,N
08ca1e7a0a1d04caf47746945c93a3a6e87b5668,1.0,60.0,49.0,N
18e7e2ce91469b4d275470dec3e496af53697b9a,1.0,5.0,5.0,N
d0633b818e5f19812ee4a8ee1992b96d3516c60b,5.0,6281.0,6160.0,Y
8e23b250a44033e5d4765a6edbabab6cc4f940c3,1.0,1.0,1.0,N
86fa786c16d80930fdfd155e6c8b28dcc4afe75e,0.0,0.0,0.0,Y
2a8db688b1031ede4feab1351714144a6ec5e9ff,2.0,7.0,16.0,N
