,nf,la,lr,result
e3400f77c94aec2aee6cc6806777ffd9e3464423,3.0,52.0,13.0,N
26d5ef93e6ddb7d3ba5774b5e427b0dc6b61516f,2.0,28.0,11.0,Y
2bfd6ddcf4de600942a7564a43a338febd4267f2,17.0,475.0,354.0,Y
283b3ee44be2fe89e7a944a10a69a72eb28d1662,1.0,7.0,3.0,Y
d40be6cfdab875794a9d1a21fa301cc6fe944ac0,1.0,3.0,3.0,Y
83ce399c4703a44823ba78edab6b65ded4c15b93,8.0,78.0,43.0,N
709ac28f29ea1b8a98c6a292f27d3079954fbcd4,2.0,123.0,4.0,Y
4a8be690998f43a9253305e09f96ad83058ef540,4.0,807.0,321.0,Y
504d5da71fd63d8333c3a491e68a31436b15cd8b,1.0,11.0,2.0,N
219eeb2369a49af607197d4e464a6a4d772a7bce,2.0,58.0,3.0,Y
ac9fd008debdefa2b98301a8efc4952a449d5b06,1.0,59.0,1.0,N
ec527a41218469170a5b0499275c6dc2519b7af4,1.0,54.0,60.0,Y
0b6101478e705f5fff1fa7e1cd2b1159ac60280c,2.0,4.0,1.0,Y
b78b2e9a03f5a6b7924dda0f8d709a5a9b23e24c,2.0,8.0,6.0,N
202b15e19b1d83a8962c8142bda4ef0c5b6f6098,1.0,13.0,19.0,N
d0ab131a57b2dc0cec6b379d439ceff912d5c3d1,18.0,569.0,160.0,Y
b72cca54030d380ab70af0eed60d82074e2e3522,2.0,102.0,2.0,N
6d7ce439b162a3784d5182947682ba479a83b9a5,8.0,455.0,4.0,Y
11d975bfef06e1edbc3eb17a3a89e18600c944f0,1.0,8.0,8.0,N
939da34869d6e7ba4716dadc92cc85580ede27cb,3.0,48.0,10.0,N
18df9fed9257b8cb80c6d321bf4600caec21ec33,2.0,2.0,2.0,Y
167329ce0c5244b976513a0ce8c0433fdac7f6cb,2.0,16.0,7.0,N
8762ec956c8d8e18979770a0ddc836b971e88fc1,5.0,81.0,5.0,Y
3f06a92b6b5fbd2f92444d10a25332f306dfb499,2.0,43.0,0.0,N
fbd25467c47fcda1e4d500e1cc3ede3d8ca7f61e,12.0,302.0,258.0,Y
b50bb5071ac353e77e9d38c72f888de3add923b2,2.0,149.0,35.0,Y
4653dbe73f3c0d39e361cc514f2bca17c670531f,1.0,1.0,1.0,N
45f79530db7d6345fc12c6aa37af1e84a66611a2,2.0,7.0,7.0,N
0934751d7aa625fd098086ce3a5fb489f2edc7e0,4.0,143.0,9.0,Y
29613f1c21fa102790a7e4094feb7cfcea2c7514,0.0,0.0,0.0,N
a473d46e1c472309807e7376255aef5d60ca174e,2.0,75.0,42.0,Y
0a17e4175519914c6010c6ac7a6f5cfcd5387ac8,2.0,12.0,4.0,Y
9c3a972dac030dcca721ff40fd1b2aadc78d4af5,4.0,16.0,17.0,N
e756ef5923a1b7d9c9d04b523a38e3522e4d2993,0.0,0.0,0.0,N
cfc821d1799ca7c64b1bbc53811b712fdaa4776c,5.0,293.0,179.0,Y
8543b91c508d0eaf86212d148e63041eb38eeb3b,6.0,203.0,61.0,N
c5e360d886931f761c2be5ff4b31d5df2042d415,4.0,49.0,21.0,Y
2a05e6afa116ab56378521b5e8c834ba92c25b85,6.0,69.0,52.0,Y
00fea1f7155b9537b4a847cdae09274b6cf902ca,1.0,1.0,1.0,N
5ccbc80522eba5a2f0b38a44aac16e7e9c7e7770,1.0,8.0,7.0,Y
78c10cd242f44680d9536721d34fedd80359a218,1.0,77.0,21.0,Y
c7aaa85ef6b4672be8e0a816d3d1f5ce71485539,1.0,5.0,5.0,N
0dc29cb2d333fdb08a39adba6318e5fcec7d2821,1.0,52.0,0.0,N
9f5fd3afcf7196dcae1ba5813f78561f9ee0f0a1,34.0,34.0,34.0,N
7187a2435e66d11298048eba63a15cc5ddf5a505,1.0,35.0,30.0,N
2302b9b48b952f254ca96df71855b716bdbfddfd,3.0,70.0,10.0,N
f6ecffdba7a97d42c36519b15314eb6dd81459b9,3.0,5.0,1.0,N
96b18c8dc22c0c57605a594b21ceec84ec16ee37,18.0,192.0,379.0,Y
1a1c72ce4b866a22658c11d6d3b7031be6313d35,2.0,25.0,25.0,N
b25504554117444d0f887c1eed6d1b3aa92d61c1,1.0,20.0,17.0,Y
fb600857df9a1fd4f44158c2537e3c2bee4322b5,3.0,50.0,16.0,Y
aa4d9c48ab656d8a31c375d449892f9955f7e57b,1.0,27.0,1.0,N
c6d29f1a314c600c6b2d1cdfc3a21ba66523b037,19.0,503.0,883.0,N
90bed9718f17bfd8f3d9dbe6cd2b3cf7ed2e6573,11971.0,873422.0,847835.0,N
23925edc95655d5d6ff664aa28e2fe9f27cad38c,1.0,30.0,16.0,Y
d3d763457410275573a95d75401d4796542920d4,1.0,20.0,1.0,N
1c306dffcd0b450b4f3d07d07934dd83b89193b3,10.0,39.0,563.0,Y
0f35fe9d3c6444093b94ec561f9685414358ef44,1.0,34.0,0.0,N
761bd9fd56a49662557dfa748ffa39121bb217cd,0.0,0.0,0.0,N
197a46d0ab5b7008fbc68eaa7468f363fca0b91b,1.0,1.0,0.0,N
3eac62925b40abecb92a3a520ec61132f08b0af1,4.0,19.0,277.0,N
3662ad4f942536e74f19739fdcebcb2186e4a4e3,3.0,3.0,3.0,Y
76e28cb08bfe20926064db08262124581d675b0e,1.0,8.0,0.0,N
19bccaaa1191e0f50034f6ea3fbd854867c7ce9f,17.0,209.0,233.0,N
db5d651057c86462c9ed145ce8346efc59d6c477,1.0,8.0,1.0,N
01b2f67f11207c5007164518a83fcfb546b36837,6.0,138.0,171.0,Y
cf687fcc72a84ec090b170f39d5ec016c5017fdb,1.0,5.0,5.0,N
5fe8f52c02e56f8704e5c00a8d17e4f32b5176c3,3.0,198.0,23.0,N
2655c507e041fb3c245d550b33ba7f1b21fc341e,23.0,602.0,604.0,Y
88b9bea049430031fbdb801313a5b18ec66247e1,0.0,0.0,0.0,N
f9e8eb59e11ba0f6ff3ac3febded7fc48ad4e13c,3.0,96.0,34.0,Y
961f42bd43f60acb38e611513a81111718edffce,2.0,39.0,21.0,N
309e51ba5b638f3c859dbb6625ce2f3c05278be0,1.0,13.0,13.0,N
381d1d5a94ae03e1a5dcec4a8e71e8c41d54f1bf,9.0,213.0,1.0,N
b093b8495416cd3f05a32add1c671174341bd595,4.0,34.0,23.0,Y
bddb38d787452e7d0619237070a72168a5b2e201,2.0,38.0,3.0,N
f5f738f2b4978985287e42c7ca19b2284f7c1ba4,9.0,116.0,10.0,N
634284e1fdd9a32b7356117055bc62b64d6e0add,6.0,113.0,18.0,Y
6793765b0a748115e2868bf7b008f0ab80aaf6c9,1.0,24.0,10.0,N
a41958435af940ac9d7aefb27d461cda661f9daa,0.0,0.0,0.0,Y
de069d06d852e6fa2e8e4ca9d442168729af6588,1.0,6.0,5.0,Y
956b66bbd466bb7a68e8499a483139a516572b24,3.0,112.0,34.0,Y
8cce40469631327e0afdd5d41393248313819270,1.0,4.0,0.0,Y
8b8be39d9f66510c1810637ee4095b2a56c31250,1.0,12.0,9.0,N
580dc8e72ae823ab4cf988de94fd8ae922bd2fc4,1.0,11.0,1.0,N
450a3d7eeeccbfa16f1b1f2c743af805fe24e573,3.0,3.0,2.0,N
87e443b429e8f94bab2018147b79aa68ea7a402b,0.0,0.0,0.0,Y
ed3823b045fd19cdb801609eb034c93dd4d75c3f,14.0,1213.0,99.0,N
2e13bf8b817d57b976178a5d8682fbb6597ec351,4.0,239.0,205.0,Y
9779ca191c1be81cf336fad8d592fa6f20d90734,4.0,371.0,32.0,N
cff23b84ae6bac45972c16a84e4dbaa382576acc,2.0,7.0,2.0,Y
