,result,type
0110214af6a802b2c7abc4f7151eab7595036478,Y,BI
39d5df29fb768fd257f9d328b99f00bc69ec864a,Y,BI
711c2e1aff80dc3205e7a3608a2ac391894d6711,N,BI
1189e1b201e0234b54df551804098df18bd9f445,N,BI
7d378fd087eab0d66b2e069dca35837ce90ad1f1,N,BI
570431c8502a6705e749b62ebf5519930946a776,Y,BI
d48d89ffb8786a4d16044e76ee869f322537a163,N,BI
934cd1c4bac88acf1450805d3d3870a36dbd1592,N,BI
0c1ee1f6ba4c660e8db076cc02b5275f449005cd,N,BI
eafc2b9db93198b247c9481f9934226c11a12fb9,N,BI
29524ee6b16bde662d61c69635760f574f12c1b7,N,BI
5214caa011c0a976475f1f5ed2fbe4aa54c08589,N,BI
dbe80e777ef25eca49e1c105409f84d7b30fde0c,N,BI
45041961f9015e8c89873deef96c5bdfeea19e6b,N,BI
161677911f5ab798708503eb13859e8403281c7f,N,BI
0bc53db8bdba6c605fec29fd2c55ad847e14b2a2,N,BI
5ecb2b8549ea8677d450d16d387ec9f4cbcbbc1a,N,BI
c35dcd2b488f4d2368d8db6d0f92c27b03794cc8,N,BI
40dee74b30d97410fa0e31b08d484be489afa510,N,BI
ddc7143ed89a6c92bbafb89bbe8e1fc4937a878c,N,BI
5710914d10aa125e6b2d611cc113b04b7fc4ffbd,N,BI
16e78c484c6357d288b8f23bad9b038e549cef68,N,BI
c6c8ae7a68c4c45f25d1fb11ad62171fffedeb6a,N,BI
ce66f92033c01bcbb8ea2b22f59e1e9a5961e8c7,N,BI
ce40a691aaebafff68e360666623f4c59a00980c,N,BI
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1,N,BI
31c30792fb86b0fef3fc48a1773c577d5b6dad61,N,IC
3e7120c8fa69249a264face69d3f69e57b8e9c2b,Y,IC
e109a469257ee2437c0d8188f78ac78de8d6bfb1,Y,IC
6fbd74844f349fc6346f4afbeb6ab1f1a74b9e1d,N,IC
f5185b0229f93097be2433386c2d4022e70545d1,Y,IC
50a1d17b5402accbdd59e62e68fa96172c9e3764,N,IC
5c06c6f24063e7a5f4e2a48b43f6a6edff4efe88,N,IC
570431c8502a6705e749b62ebf5519930946a776,Y,CR
b8a168df404754ba324f743dd710e0f654aae201,Y,CR
21d7caa09a2f0e4565670204e20301f9f8d71ed2,Y,CR
622088ba07b5b9452b73e2b2867549540e431732,N,CR
a85362e950874ce8fdc1c741a0b775495f2af842,N,CR
ab27defc0f3a3ac9b797c23bdc32f35052492b1d,N,CR
5dae4d949e1ce53048fdb817ce6e2a76cb3a25ee,N,CR
0a7bbe29d8ecc70ecb84c7f515ffc2e9394b0a75,N,CR
