,result,type
cd02e63c1fc9c8b2db5e56345c8abfda6c8b705e,Y,CR
93089b260cd2030d69b3f7113ed643b9af1adcaa,Y,CR
a0d975933d6fe9eb5f359088de43508c1d3109bf,Y,BI
8f436552ae8ee5713c1b5c78c58d4387edcccb31,Y,BI
6a34b823c807325bc251ef43c66c307adcd947b8,Y,BI
0383fd51df6ef72e41338d37748959639b788871,Y,BI
db11c04d29dd50f4405c51043b40f0d47d15925d,Y,BI
e6ba150743d6bdd3d89867d106f1848a25149140,N,IC
cb5de899710355a048cc3a34e24e21bb8c3b8c32,N,IC
28520d57d8100665c4b96c01d0d2ca9de69cc7d6,N,IC
576770726cdfaff6da9ca1e03efb9bc35c92896d,N,IC
98bc368b3155ea6763e4872a925afe6b523b4c69,N,IC
71a657004e090a86c47593f624cdcc3bb2ea710e,N,IC
22601f647f2ce9a05fa4ce20ea356492c670940c,Y,IC
5d28695b99253a183af6ecaddfe632547045c45f,Y,IC
9f03b06a1ec8cb2cb64aec6068d2a6c1f663fbc9,Y,IC
0e8811ddb7ea1a8782457328193703e8371204e2,N,IC
a5d3d4ed7c747ab7bcdf6bbae477c18e717f17e0,Y,IC
f192d16a872de62b7ded70fea48bab9dc563504d,N,IC
59411494e069c8aae9123f182aa3a70136bd3dc3,N,IC
fa07dea5850eb11bb7b4dc06823802156b89baaf,N,CR
