,result,type
895a1317c2993dea6613cd6080bfae21eb2175c2,N,BI
fcd1be848e8be541fb7d9536f8d367f4040e4d74,N,BI
83ddf5f5bbfc84df60ece9e1c006c8dc32a8bc47,N,BI
bed2ff34fd7a96f81346cc1477727171b10a937f,N,BI
3d94cff4112271a80c2208805324df1c26d90e2e,N,BI
d5330a16f6d21cb61dc7f59769e4e031ca9aa47a,N,BI
7d39e4e61f151094bab9d797fff672ffa5b640fd,N,BI
6c063ef8f11e4941cdea8b2145370953d7af2cb2,N,BI
15ee330ba88602d20b80d487897ad5100dc85eda,N,BI
53c65ea6f6e9d4c55fd12f0892ba76e85662fe29,N,BI
5223776550751d3cfceefbc2c0903b770d4eb62b,N,CR
b1264cc000b10d2580b7d709162faeddd65835fa,Y,CR
c27fc103b4a5b4b4c66cac1fae5fac9a62dad124,N,CR
dcca8f185ab19904285a8b208ff6087f8fb5ec4e,N,CR
f016a931b3c9783a5d8c7da1d675a0afbeece569,N,IC
608d0c04713ddb022445a0bcc658edb90397e332,N,IC
27208dccd58677c604baf5ed35aea2359a862ab2,Y,IC
3ef177521bc9887ad7343b5843bef30475259013,N,IC
636b88860b60bcc4dbd089b04934d6a3a6ed67e8,N,IC
ddf9f54774ab5c2d79494a9e8bdb918e94ec6b0c,Y,IC
c119b2137f61c469da3ec5f7a080c77f8f15a12c,N,IC
bbbc6ec938531e9efe0afb90b102225b75b3cf88,N,IC
d9eb28feb86bd4c23100450c63e3cafcde21f5f1,Y,IC
ee1336026bc77b35810bfe2b8ea8f25516f069df,N,IC
1044d960f41885022034a2a2a9fdea47209aec21,Y,IC
afc2ce6fcf959f8280026f2e0a8ad04e6bcb538e,N,IC
efcc1db8b9e6c43badf097ea229ada0e377e7012,Y,IC
eabcac384a10e010b1f9c6802bb2a1013e7a1b5b,N,IC
09780d114b771f60098d5dd07ca9bfa724804740,N,IC
3dba7f1b740a4926edf01d837b1603f28a76bf07,N,IC
947dc3d3732f1b91cc79eafc5445c0afaf2c1a33,N,IC
afbfd3c801d76b859944a3582012bdd36c2d7964,N,IC
bd2c272d341accef043c23d9d53085d8c7374a7e,N,CR
