,result,type
c5e360d886931f761c2be5ff4b31d5df2042d415,Y,BI
8cce40469631327e0afdd5d41393248313819270,Y,BI
956b66bbd466bb7a68e8499a483139a516572b24,Y,BI
cfc821d1799ca7c64b1bbc53811b712fdaa4776c,Y,BI
0934751d7aa625fd098086ce3a5fb489f2edc7e0,Y,BI
2e13bf8b817d57b976178a5d8682fbb6597ec351,Y,BI
cff23b84ae6bac45972c16a84e4dbaa382576acc,Y,BI
a473d46e1c472309807e7376255aef5d60ca174e,Y,BI
fb600857df9a1fd4f44158c2537e3c2bee4322b5,Y,BI
167329ce0c5244b976513a0ce8c0433fdac7f6cb,N,BI
8543b91c508d0eaf86212d148e63041eb38eeb3b,N,BI
9c3a972dac030dcca721ff40fd1b2aadc78d4af5,N,BI
6793765b0a748115e2868bf7b008f0ab80aaf6c9,N,BI
961f42bd43f60acb38e611513a81111718edffce,N,BI
1a1c72ce4b866a22658c11d6d3b7031be6313d35,N,BI
7301b58ec951b943068eabc25bc318de490d2033,N,BI
709ac28f29ea1b8a98c6a292f27d3079954fbcd4,Y,BI
f9e8eb59e11ba0f6ff3ac3febded7fc48ad4e13c,Y,BI
b093b8495416cd3f05a32add1c671174341bd595,Y,BI
78c10cd242f44680d9536721d34fedd80359a218,Y,BI
5d8fac86d749c9ea98eb7eda58655fe5fa3616d0,Y,BI
c9d0ebd730953ef693edf275b57cfeeb9bf15af9,Y,BI
2655c507e041fb3c245d550b33ba7f1b21fc341e,Y,BI
96b18c8dc22c0c57605a594b21ceec84ec16ee37,Y,BI
219eeb2369a49af607197d4e464a6a4d772a7bce,Y,BI
ec527a41218469170a5b0499275c6dc2519b7af4,Y,BI
5ccbc80522eba5a2f0b38a44aac16e7e9c7e7770,Y,BI
b25504554117444d0f887c1eed6d1b3aa92d61c1,Y,BI
c6d29f1a314c600c6b2d1cdfc3a21ba66523b037,N,BI
b78b2e9a03f5a6b7924dda0f8d709a5a9b23e24c,N,BI
5fe8f52c02e56f8704e5c00a8d17e4f32b5176c3,N,BI
504d5da71fd63d8333c3a491e68a31436b15cd8b,N,BI
283b3ee44be2fe89e7a944a10a69a72eb28d1662,Y,BI
de069d06d852e6fa2e8e4ca9d442168729af6588,Y,BI
23925edc95655d5d6ff664aa28e2fe9f27cad38c,Y,BI
18df9fed9257b8cb80c6d321bf4600caec21ec33,Y,BI
0b6101478e705f5fff1fa7e1cd2b1159ac60280c,Y,BI
634284e1fdd9a32b7356117055bc62b64d6e0add,Y,BI
26d5ef93e6ddb7d3ba5774b5e427b0dc6b61516f,Y,BI
1c306dffcd0b450b4f3d07d07934dd83b89193b3,Y,BI
4a8be690998f43a9253305e09f96ad83058ef540,Y,BI
b50bb5071ac353e77e9d38c72f888de3add923b2,Y,BI
cc0ae3a881dde5910ecc340fa20c2365dd7474fa,Y,BI
fbd25467c47fcda1e4d500e1cc3ede3d8ca7f61e,Y,BI
