,result,type
179d218be35ea25ac8492b9d24b8cddf4ff69115,Y,BI
75539ea428ab7d254251317177b814c627276c2d,Y,BI
1ae59c8aa253e4d045b46ed4f8b1793cc0d6b320,Y,BI
16e629298a2c9d414105113c3fbcb35687bc7c26,Y,BI
fc5e1dc2b35297d36158adeb0efbc9b3515c418e,Y,BI
8d3d14beb1fd1eaf825272b094633ad35c807df1,Y,BI
8d04a0cf2dd770c990a0c2707fd00215966957c5,Y,BI
9a3b000767c018a681a4858a84aae20a0b8c7310,Y,BI
88756ddb1061660cb5ca68f5562d7343570dd955,Y,BI
5dd5b7fb1eec9c7e5d9feec023ccd1d326c756d9,Y,BI
7900b3767ab5a3f159a8105a63ac39f5ec3344ad,Y,BI
b27adcf76ab30c76fcba37316cba60cdd898b9c7,Y,BI
ff2709bb88ff56542213ff47ad7ded6ae5073b7f,N,BI
473611d95d4339c0a4ffdd2872f7d6609c2d63a2,N,BI
eea5d5fe34e9e7c67f076cae81fec6ebf06626af,Y,BI
93c9e9daa52526220f2a1d236d6b17ce647a7818,Y,BI
203c9a252df458e5a7ad0b3ab03ae4c29263336f,Y,BI
9034f0a53d4b886e324563db686d696dc2182ae1,Y,BI
a22b8d7ccf872b503da8d43f1c29390356d6d5d3,Y,BI
081e2b962a59e915d2e6e324bfcfec6921f17352,Y,BI
7b1c8a348e695f4427f23784090897effc81784a,Y,CR
3d7e76ca8fe0427b9fb374f27291cbd3d22cdbe2,Y,CR
973214111b880e55ef03af1cb8f7e3187a4e1159,Y,CR
3348ac39d016425b75c0205a15867ea9991e86f3,Y,CR
2bd88a3ca2bdb2b32f3a58d99f9dd928ac1c653c,Y,CR
5efcc648f424bc2c5cf83afbb7d3262b6085c368,Y,CR
69afcb91cd3abd8c9c6fc31634fba066c46461c6,Y,CR
dc13dc9ad3e762672cc5f76b05dc7a247f690c5f,Y,CR
58b5d8055c93216a811ef23a408c8e3393fc6ba0,Y,CR
510c475d37f30089ad4c648851344251abed8127,N,IC
ccd9c7bd7acf6167e7a98b99e13ecf8516dafdd6,N,IC
4718770ce4321d8f1f8be9c9720b7a8086db80c1,N,IC
1500fa1544ae45a74696ac7180b0965def07ccd9,N,IC
67c956c251cb97907d527e3e83de40bfe7b95584,N,IC
650b953759d24c6147c6ccf567f6fb254ba50b62,N,IC
c17804376424a779d44e8cfb0af71eb6f68d39b0,N,IC
2f5f62686d9edb77f5d3ecc39531546d1d1f27b1,N,IC
952b918db8cd52bbf81f4a0b99c641e5567f435a,N,IC
00bf25a4aeeec2561f31fa81ebdbd5c631a0b75a,N,IC
050c3508e5ef2b7e1e09fdcab94412aecc4c780b,N,IC
d5683f0232f7549b3f8e2581ba5e2d398b1b6a8b,N,IC
8c986cd353ba20b54a88e5619abb8bd46a033526,N,IC
3ad941690b6c7f3c256309ea0edd3eeea68d7af2,N,IC
9bb5d7159c138a660af3c66386ada3486ed03570,N,IC
9788e0cca415fc5a07a93e5962c4098caca2adaf,N,IC
fa93ceff49c3e84851cb8b00157e4fbed1d2cdb7,N,IC
ecb3b829b10e9eed3c3a72a01e8fabdfb3bcf939,N,IC
4e1e0456bf5e067bf25a85afb7c3eba89a2d7764,N,IC
d252522bc58a3d30e01828ddf55eb92cb81c99eb,N,IC
c2a89be46a1ee03d6a199f5706c5f7a4b2021583,N,IC
aebcfbb6ef2a36b24c8165a279971a0b59c9c4a4,N,IC
26fb7956fc23aabc9d83e9b97a6e5c6e639f2fb4,N,IC
3a81ca0bd65bca01aa1f46009a137f48db2c7bc3,N,IC
3c86c40fdfb0c47f21b10ae57482e11d966fc755,N,IC
52911ea9e0f9ee4f52af2511ad9ed0de3b1c770b,N,IC
36efd49eb2d869394de31c20f242321d8b4f31b4,N,IC
a5ffb639d5cc6fe23713ac5e81b00d3446650d58,N,IC
bf7905cdc5ba9da05b7e18ad6a98bfd7ae638a8e,N,IC
4f7b2fdefe47c7cc0927a3d7dfaf9bac26ec89da,N,IC
2065bcac8f8d47da9eace662e139f2d614893b83,N,IC
c95f508f627231ef8d3b1e759c5a5aae878e8b58,N,IC
b5b2e504987fe6fe282aab71e532fdf363c5e916,N,IC
5b50aebca9a3b270f811bce76b78651535f40b14,N,IC
1cfbcf8d56ff428dfa7919935c32a459fd865ab3,N,IC
a162e21fb61a79117b1df684149d0a95603dd0d2,N,IC
5e78ba22d28d023ce76551313bffc6585a7575c4,N,IC
7fa8f59d301421fa44bc9047f299c9f53f18d0fa,N,IC
4a0cd18cda74dec6d2bbf4195194d20c47bebc2e,N,IC
81bac3b88bcba96186f1a8cdbf28cb86f72a1953,N,IC
4053e96089e362495e2432ac89a0fc95ab5e7b47,N,IC
d765832a9d6668c04ffe28077db2ce5763f34d45,N,IC
d4a57f4f1cb99f7da15583fdd0dbdea150985dc6,N,IC
ca25733c2908dc0a15979300814b4164966bcd2d,N,IC
af649d7d2ec032b60bdb3bca1ccacadcf7d4c8a2,N,IC
de96d06c6c9a54d0eece59b146974e58e6b4f60f,N,IC
608f93143a4e8c252d88ea2d5361935439a8b64d,N,IC
2a0778d7a521a21342cd113315c0fdbf09591de3,N,IC
