Timestamp,Fix non-functional bugs,Fix hard to reproduce/locate bugs,Fix blocking bugs,Fix pervasive bugs,Fix key feature bugs,Correcting controversial changes,API Usability Improvement,Major structural change,Fix configuration bugs,Important test case addition,New key feature,Domino Changes,Additional Categories of Influential Changes,Category change,How many years of software development experience do you have?,You are a: ,Have you ever been involved in Code Review activities?,Would you like to be informed of the final outcome of this survey?,Do you agree to be contacted for similar research/education survey?,Country (Optional),, [Row 1]
8/11/2015 14:14:06,1,3,1,3,2,1,1,1,3,1,1,3,,,10,Software developer (freelance or employee),Yes,Yes,No,United Kingdom,,
8/11/2015 14:15:53,3,3,1,1,1,1,1,1,2,2,2,2,,,2,"Researcher (graduates, Postdocs, etc.)",Yes,Yes,Yes,,,
8/11/2015 14:17:32,4,3,5,5,5,3,2,2,5,4,3,2,,,16,journalist,Yes,Yes,Yes,France,,
8/11/2015 14:18:41,5,2,2,2,3,4,3,1,4,4,2,1,,,7,Software developer (freelance or employee),Yes,No,No,Canada,,
8/11/2015 14:20:43,3,1,2,2,2,3,1,3,1,2,3,2,,,3,Software developer (freelance or employee),No,No,No,Argentina,,
8/11/2015 14:24:12,3,3,1,1,4,5,4,3,1,5,5,1,"In my opinion, influential change is the change that forces us to rewrite big chunks of code not directly connected with the change reason.",,4,Software developer (freelance or employee),Yes,Yes,Yes,Russia,,
8/11/2015 14:25:44,2,2,2,2,3,2,2,1,3,3,1,1,,,1,Software developer (freelance or employee),Yes,Yes,Yes,France,,
8/11/2015 14:25:47,4,2,1,1,2,3,3,2,4,4,1,2,,,8,Software developer (freelance or employee),Yes,Yes,Yes,China,,
8/11/2015 14:29:28,2,2,4,3,4,1,3,2,2,2,4,4,,,20,Software developer (freelance or employee),Yes,Yes,Yes,Netherlands,,
8/11/2015 14:29:57,3,3,2,3,3,2,3,2,4,3,4,2,,,5,"Researcher (graduates, Postdocs, etc.)",Yes,Yes,No,Peru,,
8/11/2015 14:30:27,1,3,2,2,3,3,2,4,3,2,1,2,,,17,Software developer (freelance or employee),Yes,Yes,No,,,
8/11/2015 14:31:52,2,4,1,3,1,3,3,3,2,3,1,1,,,9,Software developer (freelance or employee),Yes,Yes,Yes,France,,
8/11/2015 14:35:43,4,4,3,3,3,3,4,2,4,4,3,1,,,35,Software developer (freelance or employee),Yes,No,Yes,United States,,
8/11/2015 14:36:16,2,2,3,2,2,2,3,2,2,2,2,1,,,3,Software developer (freelance or employee),Yes,Yes,Yes,Poland,,
8/11/2015 14:45:54,3,2,2,2,2,3,2,2,3,3,1,1,"Refactoring for improved readability and code reuse. 

We often ""hack"" things to get stuff done. Before approaching a next feature, we need to clear up things to avoid future confusion. Thus we refactor things, preparing the field for future work.",,15,Software developer (freelance or employee),Yes,Yes,Yes,United States,,
8/11/2015 14:47:48,4,5,2,2,1,2,3,1,4,4,2,3,,,7,Software developer (freelance or employee),Yes,Yes,No,United States,,
8/11/2015 14:48:12,3,2,3,2,2,3,4,2,4,2,3,1,,,10,Software developer (freelance or employee),Yes,No,No,Norway,,
8/11/2015 14:48:55,3,2,4,2,2,3,2,3,2,4,2,4,,,5,Student (undergraduates),Yes,No,No,France,,
8/11/2015 15:01:01,2,3,2,2,1,2,3,4,4,4,1,3,,,25,Software developer (freelance or employee),Yes,Yes,No,Denmark,,
8/11/2015 15:11:32,3,2,4,4,3,3,3,2,4,3,3,2,"User facing bugs, generally due to platform fragmentation (devices, device versions and/or OS versions)",,6,Software developer (freelance or employee),Yes,Yes,Yes,Chile,,
8/11/2015 15:19:56,1,1,2,3,1,5,2,5,2,4,2,1,,,6,Student (undergraduates),Yes,Yes,No,Lithuania,,
8/11/2015 15:33:54,4,3,3,4,3,3,4,4,3,4,3,4,"UI/UX: look and feel, usability
Dependency management systems
",,6,Software developer (freelance or employee),Yes,Yes,Yes,Czech Republic,,
8/11/2015 15:35:31,4,4,3,3,2,3,2,1,3,2,2,1,,,4,Student (undergraduates),Yes,No,No,Puerto Rico,,
8/11/2015 15:47:49,5,1,2,2,2,4,2,2,4,1,4,2,,,2,Student (undergraduates),Yes,Yes,Yes,Russia,,
8/11/2015 15:50:28,1,2,3,2,2,1,3,1,2,4,3,2,,,4,Software developer (freelance or employee),Yes,Yes,Yes,Bulgaria,,
8/11/2015 15:55:17,1,3,2,2,1,3,3,1,3,2,2,1,,,10,Software developer (freelance or employee),Yes,Yes,No,Brazil,,
8/11/2015 16:01:05,3,4,3,2,2,4,2,3,3,4,2,1,,,10,"Researcher (graduates, Postdocs, etc.)",Yes,No,No,Norway,,
8/11/2015 16:03:54,4,2,1,1,2,3,3,2,1,4,2,1,,,10,Software developer (freelance or employee),Yes,Yes,No,Italy,,
